Area_Name,Year,Group_Name,K_A_Cases_Reported,K_A_Female_10_15_Years,K_A_Female_15_18_Years,K_A_Female_18_30_Years,K_A_Female_30_50_Years,K_A_Female_Above_50_Years,K_A_Female_Total,K_A_Female_Upto_10_Years,K_A_Grand_Total,K_A_Male_10_15_Years,K_A_Male_15_18_Years,K_A_Male_18_30_Years,K_A_Male_30_50_Years,K_A_Male_Above_50_Years,K_A_Male_Total,K_A_Male_Upto_10_Years
Andhra Pradesh,2001,Kidnap - For Adoption,8,0,0,4,0,0,5,1,8,0,0,0,0,0,3,3
Arunachal Pradesh,2001,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2001,Kidnap - For Adoption,18,0,0,0,0,0,0,0,18,0,0,15,3,0,18,0
Chandigarh,2001,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Adoption,6,2,1,3,0,0,6,0,6,0,0,0,0,0,0,0
Delhi,2001,Kidnap - For Adoption,5,1,0,0,0,0,1,0,7,1,0,1,2,0,6,2
Gujarat,2001,Kidnap - For Adoption,3,0,0,2,0,0,3,1,3,0,0,0,0,0,0,0
Haryana,2001,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2001,Kidnap - For Adoption,2,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1
Jharkhand,2001,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2001,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2001,Kidnap - For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Meghalaya,2001,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Adoption,3,0,0,0,0,0,1,1,3,0,0,2,0,0,2,0
Odisha,2001,Kidnap - For Adoption,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
Punjab,2001,Kidnap - For Adoption,3,0,0,0,0,0,1,1,3,0,0,0,0,0,2,2
Rajasthan,2001,Kidnap - For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Sikkim,2001,Kidnap - For Adoption,6,0,0,0,0,0,0,0,7,0,0,6,1,0,7,0
Tamil Nadu,2001,Kidnap - For Adoption,22,0,17,4,0,0,22,1,22,0,0,0,0,0,0,0
Uttar Pradesh,2001,Kidnap - For Adoption,6,0,1,0,0,0,1,0,6,0,2,3,0,0,5,0
West Bengal,2001,Kidnap - For Adoption,3,2,0,0,0,0,2,0,3,0,0,1,0,0,1,0
Andhra Pradesh,2001,Kidnap - For Begging,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0
Arunachal Pradesh,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Begging,6,2,0,1,0,0,3,0,6,1,0,2,0,0,3,0
Bihar,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Begging,9,3,5,0,1,0,9,0,9,0,0,0,0,0,0,0
Gujarat,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2001,Kidnap - For Begging,1,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1
Himachal Pradesh,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2001,Kidnap - For Begging,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Jharkhand,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2001,Kidnap - For Begging,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Maharashtra,2001,Kidnap - For Begging,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1
Meghalaya,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2001,Kidnap - For Begging,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Tamil Nadu,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
